,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,frontage_pct,total_porch_sf,total_sf,has_pool,has_garage,has_basement,has_porch,Artery,Feedr,PosA,PosN,RRAe,RRAn,RRNe,RRNn,AsphShn,Brk Cmn,BrkComm,BrkFace,CBlock,CemntBd,CmentBd,HdBoard,ImStucc,MetalSd,Plywood,Stone,Stucco,VinylSd,Wd Sdng,Wd Shng,WdShing,bsmt_sf_ALQ,bsmt_sf_BLQ,bsmt_sf_GLQ,bsmt_sf_LwQ,bsmt_sf_NA,bsmt_sf_Rec,bsmt_sf_Unf,total_bath
0,109,533352170,60,RL,100.97220414342054,13517,Pave,NA,2,Lvl,AllPub,CulDSac,2,Sawyer,1Fam,2Story,6,8,1976,2005,Gable,CompShg,BrkFace,289.0,4,3,CBlock,3.0,3.0,1.0,192.0,725.0,GasA,5,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,8,0,0,Attchd,1976.0,2.0,2.0,475.0,3,3,2,0,44,0,0,0,0,0,0,NA,0,3,2010,WD ,130500,0.007470015842525748,44,2248.0,0,1,1,1,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,2.5
17,770,905101490,20,RL,80.0,8816,Pave,NA,3,Lvl,AllPub,Corner,2,Sawyer,1Fam,1Story,5,6,1963,1963,Gable,CompShg,None,0.0,3,3,PConc,3.0,3.0,1.0,470.0,1121.0,GasA,3,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,8,0,0,Detchd,1963.0,1.0,2.0,480.0,3,3,2,0,80,0,0,0,0,0,3,NA,0,6,2009,WD ,139000,0.007470015842525748,80,2322.0,0,1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,0.0,1.0
18,2063,905107140,20,RL,71.0,8197,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,6,5,1977,1977,Gable,CompShg,BrkFace,148.0,3,3,CBlock,3.0,3.0,1.0,660.0,660.0,GasA,5,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,8,1,3,Attchd,1977.0,2.0,2.0,528.0,3,3,2,138,0,0,0,0,0,0,3,NA,0,4,2007,WD ,143500,0.007470015842525748,138,2083.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
20,2062,905106150,20,RL,109.0,8724,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,5,1968,1968,Gable,CompShg,None,0.0,3,3,CBlock,4.0,3.0,1.0,402.0,894.0,GasA,4,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,8,1,1,Attchd,1968.0,0.0,2.0,450.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,5,2007,WD ,129000,0.007470015842525748,0,1788.0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,1.0
26,86,532376160,20,RL,65.0,8450,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,8,1965,2009,Gable,CompShg,None,0.0,3,4,CBlock,3.0,3.0,1.0,224.0,894.0,GasA,5,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,3,5,8,1,4,Detchd,1973.0,1.0,1.0,336.0,3,3,2,416,144,0,0,0,0,0,3,NA,0,4,2010,WD ,138500,0.007470015842525748,560,2348.0,0,1,1,1,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,117.0,553.0,0.0,0.0,0.0,0.0,1.0
44,1378,905102170,20,RL,70.0,11200,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,CompShg,None,0.0,3,3,CBlock,3.0,3.0,1.0,134.0,1040.0,GasA,5,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,8,0,0,Detchd,1965.0,1.0,1.0,384.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,2,2008,WD ,129500,0.007470015842525748,0,2080.0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,0.0,1.0
55,224,905106140,60,RL,80.0,9364,Pave,NA,3,Lvl,AllPub,Corner,2,Sawyer,1Fam,2Story,6,7,1969,1969,Gable,CompShg,Stone,143.0,3,3,CBlock,3.0,3.0,1.0,292.0,663.0,GasA,3,Y,SBrkr,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,8,0,0,Attchd,1969.0,0.0,1.0,299.0,3,3,2,379,36,0,0,0,0,0,3,NA,0,3,2010,WD ,158000,0.007470015842525748,415,2430.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
76,2723,905200380,30,RL,130.94190770363383,17529,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,5,1924,1950,Gable,CompShg,Stone,65.0,3,3,BrkTil,3.0,3.0,1.0,872.0,872.0,GasA,2,N,FuseF,872,0,0,872,0.0,0.0,1,0,2,1,2,5,5,1,4,Detchd,1924.0,1.0,1.0,322.0,2,2,0,0,0,116,0,0,0,0,0,NA,0,4,2006,WD ,105000,0.007470015842525748,116,1860.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,779,905200350,80,RL,88.0,15312,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,SLvl,6,5,1960,1960,Hip,CompShg,BrkFace,54.0,3,3,CBlock,3.0,3.0,3.0,550.0,1138.0,GasA,5,Y,SBrkr,1138,0,0,1138,0.0,1.0,1,0,3,1,3,6,8,1,3,Attchd,1960.0,2.0,2.0,480.0,3,3,2,0,0,0,0,140,0,0,3,NA,0,3,2009,COD,148000,0.007470015842525748,140,2416.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,588.0,0.0,0.0,0.0,0.0,0.0,1.0
114,781,905228050,20,RL,67.23014258273173,9000,Pave,NA,3,Lvl,AllPub,Corner,2,Sawyer,1Fam,1Story,2,2,1947,1950,Gable,CompShg,None,0.0,3,3,Slab,0.0,0.0,0.0,0.0,0.0,GasA,2,N,SBrkr,660,0,0,660,0.0,0.0,1,0,2,1,2,5,6,0,0,NA,0.0,0.0,0.0,0.0,0,0,0,0,0,100,0,0,0,0,0,NA,0,6,2009,WD ,63900,0.007470015842525748,100,760.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,1826,532377140,20,RL,74.28930755391856,9945,Pave,NA,2,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,5,1961,1961,Hip,CompShg,BrkFace,57.0,3,3,CBlock,3.0,3.0,1.0,161.0,988.0,GasA,3,Y,SBrkr,988,0,0,988,1.0,0.0,1,0,3,1,3,5,8,0,0,Detchd,1963.0,1.0,2.0,572.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,10,2007,WD ,128500,0.007470015842525748,0,1976.0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.0,0.0,1.0
136,216,905101100,50,RL,54.0,6342,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1.5Fin,5,8,1875,1996,Gable,CompShg,None,0.0,3,4,CBlock,3.0,3.0,1.0,780.0,780.0,GasA,4,N,SBrkr,780,240,0,1020,0.0,0.0,1,0,2,1,3,6,8,0,0,NA,0.0,0.0,0.0,0.0,0,0,0,0,0,176,0,0,0,0,0,NA,0,5,2010,WD ,94000,0.007470015842525748,176,1976.0,0,0,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142,89,532378110,20,RL,51.520699265900085,6897,Pave,NA,2,Lvl,AllPub,Corner,2,Sawyer,1Fam,1Story,5,8,1962,2010,Gable,CompShg,None,0.0,3,4,CBlock,3.0,3.0,1.0,381.0,1040.0,GasA,5,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,1,3,1,3,6,8,0,0,Detchd,1962.0,1.0,1.0,260.0,3,3,2,0,104,0,0,0,0,0,0,NA,0,4,2010,WD ,127000,0.007470015842525748,104,2184.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
160,2067,905226050,30,RL,189.28273143375992,25339,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,7,1918,2007,Gable,CompShg,None,0.0,3,4,BrkTil,3.0,3.0,1.0,816.0,816.0,GasA,5,Y,SBrkr,1416,0,0,1416,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2007.0,1.0,2.0,576.0,3,3,0,0,0,112,0,0,0,0,0,NA,0,8,2007,WD ,112000,0.007470015842525748,112,2344.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
169,1385,905108170,85,RL,55.278117234690534,7400,Pave,NA,2,Lvl,AllPub,CulDSac,2,Sawyer,1Fam,SFoyer,5,5,1984,1984,Gable,CompShg,None,0.0,3,3,PConc,4.0,3.0,3.0,0.0,1060.0,GasA,3,Y,SBrkr,1126,0,0,1126,1.0,0.0,1,0,2,1,3,5,8,0,0,Attchd,1984.0,1.0,2.0,506.0,3,3,2,178,0,0,0,0,0,0,0,NA,0,3,2008,WD ,152000,0.007470015842525748,178,2364.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0.0,0.0,956.0,0.0,0.0,104.0,0.0,0.0,0.0,1.0
177,777,905200220,20,RL,86.77170402677909,11616,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,5,1962,1962,Gable,CompShg,BrkFace,116.0,3,3,CBlock,3.0,3.0,1.0,252.0,1092.0,GasA,3,Y,SBrkr,1092,0,0,1092,0.0,1.0,1,0,3,1,3,6,8,1,1,Attchd,1962.0,1.0,1.0,288.0,3,3,2,0,20,144,0,0,0,0,0,NA,0,9,2009,WD ,139000,0.007470015842525748,164,2348.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,670.0,0.0,170.0,0.0,0.0,0.0,1.0
213,1390,905201020,20,RL,94.0,9239,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,8,1963,2003,Gable,CompShg,None,0.0,3,4,CBlock,3.0,3.0,1.0,326.0,960.0,GasA,5,Y,SBrkr,960,0,0,960,1.0,0.0,1,0,3,1,4,6,8,0,0,Attchd,1963.0,0.0,1.0,300.0,3,3,2,168,0,0,0,0,0,0,0,NA,0,5,2008,WD ,144900,0.007470015842525748,168,2088.0,0,1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,634.0,0.0,0.0,0.0,0.0,1.0
